Model,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Województwo,Rodzaj ogłoszenia,Producent,Czy cena do negocjacji,Roczny przebieg,Wiek
A4,Diesel,Kombi,250000,Czarny,1995.0,Manualna,Brak danych,140.0,Brak danych,po lewej,11500.0,Kujawsko-pomorskie,Prywatne,Audi,True,12285.01228501234,20
Range Rover Evoque,Benzyna,Terenowy,371000,Zielony,4398.0,Automatyczna,Brak danych,289.0,4x4 (stały),po lewej,22000.0,Dolnośląskie,Prywatne,Land Rover,False,15888.650963597493,23
Seria 5,Diesel,SUV,294000,Czarny,2926.0,Automatyczna,Brak danych,184.0,4x4 (stały),po lewej,21900.0,Wielkopolskie,Prywatne,BMW,True,12591.006423982919,23
Grand Cherokee,Diesel,SUV,315000,Czarny,2685.0,Automatyczna,Niemcy,163.0,4x4 (stały),po lewej,25000.0,Zachodniopomorskie,Prywatne,Jeep,False,14754.0983606558,21
Berlingo,Diesel,Minibus,359000,Biały,1560.0,Manualna,Polska,75.0,Na przednie koła,po lewej,11900.0,Wielkopolskie,Prywatne,Citroen,True,21957.18654434263,16
A2,Diesel,Hatchback,171402,Srebrny,1400.0,Manualna,Polska,75.0,Na przednie koła,po lewej,9900.0,Śląskie,Prywatne,Audi,False,7039.096509240273,24
Seria 3,Benzyna,Kombi,279878,Czarny,1995.0,Automatyczna,Niemcy,129.0,Na tylne koła,po lewej,12900.0,Mazowieckie,Prywatne,BMW,True,14463.979328165442,19
Avensis,Benzyna,Kombi,334355,Srebrny,1798.0,Manualna,Polska,147.0,Na przednie koła,po lewej,32500.0,Małopolskie,Prywatne,Toyota,True,29458.59030837028,11
Passat,Diesel,Kombi,309000,Szary,2000.0,Manualna,Niemcy,140.0,Na przednie koła,po lewej,24900.0,Lubelskie,Prywatne,Volkswagen,True,21533.101045296306,14
Clio,Diesel,Hatchback,198600,Biały,1461.0,Manualna,Polska,75.0,Na przednie koła,po lewej,21000.0,Podkarpackie,Prywatne,Renault,True,16080.971659919147,12
Trafic,Diesel,Minibus,210000,Biały,1598.0,Manualna,Belgia,95.0,Na przednie koła,po lewej,36900.0,Dolnośląskie,Prywatne,Renault,False,28571.428571428925,7
Golf,Diesel,Hatchback,312946,Srebrny,1896.0,Manualna,Francja,105.0,Na przednie koła,po lewej,9700.0,Mazowieckie,Prywatne,Volkswagen,True,16172.919896640902,19
Captur,Benzyna,Hatchback,131680,Szary,900.0,Manualna,Brak danych,90.0,Na przednie koła,po lewej,34900.0,Śląskie,Prywatne,Renault,False,10662.34817813773,12
Astra,Diesel,Hatchback,232000,Czarny,1686.0,Manualna,Niemcy,125.0,Na przednie koła,po lewej,20900.0,Lubuskie,Prywatne,Opel,True,15114.00651465807,15
Ibiza,Benzyna,Hatchback,180000,Inny kolor,1390.0,Manualna,Niemcy,85.0,Na przednie koła,po lewej,15000.0,Małopolskie,Prywatne,Seat,True,11726.384364820917,15
Durango,LPG,SUV,134000,Czarny,3600.0,Automatyczna,Stany Zjednoczone,288.0,Na tylne koła,po lewej,93000.0,Łódzkie,Prywatne,Dodge,True,16047.90419161694,8
Swift,Benzyna,Hatchback,220121,Czerwony,1328.0,Manualna,Niemcy,92.0,Na przednie koła,po lewej,14900.0,Dolnośląskie,Prywatne,Suzuki,True,11375.762273901862,19
Cayenne S,Benzyna,SUV,241000,Czarny,4511.0,Automatyczna,Niemcy,340.0,4x4 (dołączany automatycznie),po lewej,25000.0,Małopolskie,Prywatne,Porsche,True,11288.05620608904,21
Laguna,Benzyna,Hatchback,194406,Srebrny,1600.0,Manualna,Polska,107.0,Na przednie koła,Brak danych,5500.0,Dolnośląskie,Prywatne,Renault,True,7668.875739644998,25
Astra,Diesel,Kombi,237000,Szary,1686.0,Manualna,Niemcy,110.0,Na przednie koła,po lewej,21900.0,Pomorskie,Prywatne,Opel,True,16515.679442508816,14
CR-V,LPG,SUV,232000,Czarny,1999.0,Manualna,Niemcy,150.0,4x4 (dołączany automatycznie),po lewej,10400.0,Podkarpackie,Prywatne,Honda,True,10380.313199105187,22
A4,Diesel,Kombi,248109,Czarny,2000.0,Automatyczna,Włochy,143.0,Na przednie koła,po lewej,29500.0,Kujawsko-pomorskie,Prywatne,Audi,True,15174.862385321185,16
Seria 1,Benzyna,Hatchback,290000,Czarny,1596.0,Manualna,Polska,116.0,Na tylne koła,po lewej,11000.0,Mazowieckie,Prywatne,BMW,False,15803.814713896536,18
940,LPG,Sedan,420499,Czerwony,1986.0,Manualna,Brak danych,112.0,Na tylne koła,po lewej,16000.0,Mazowieckie,Prywatne,Volvo,True,12608.665667166451,33
Mokka,Diesel,SUV,170000,Biały,1600.0,Manualna,Francja,135.0,Na przednie koła,po prawej,31000.0,Świętokrzyskie,Prywatne,Opel,True,16425.120772947004,10
Fortwo,Diesel,Hatchback,174700,Srebrny,799.0,Automatyczna,Polska,45.0,Na tylne koła,po prawej,9000.0,Mazowieckie,Prywatne,Smart,False,10685.015290519937,16
ASX,Benzyna,SUV,176000,Biały,1598.0,Manualna,Szwecja,116.0,Na przednie koła,po lewej,38900.0,Lubelskie,Firmowe,Mitsubishi,True,15506.607929515543,11
E Klasa,Diesel,Kombi,245347,Srebrny,2143.0,Automatyczna,Polska,170.0,Na tylne koła,po prawej,49800.0,Zachodniopomorskie,Prywatne,Mercedes-Benz,False,18378.052434457055,13
Wrangler,Benzyna,Terenowy,204000,Niebieski,4000.0,Automatyczna,Stany Zjednoczone,180.0,4x4 (dołączany ręcznie),po lewej,51000.0,Małopolskie,Prywatne,Jeep,True,7195.767195767219,28
Seria 3,Benzyna,Sedan,145000,Biały,2000.0,Automatyczna,Kanada,258.0,4x4 (stały),po lewej,72000.0,Podkarpackie,Prywatne,BMW,True,17365.269461078035,8
Octavia,Diesel,Kombi,247000,Biały,1989.0,Manualna,Niemcy,220.0,Na przednie koła,po lewej,47900.0,Dolnośląskie,Prywatne,Skoda,False,23864.734299517117,10
Seria 3,Diesel,Sedan,346660,Srebrny,1995.0,Manualna,Niemcy,163.0,Brak danych,po lewej,15500.0,Lubuskie,Prywatne,BMW,False,17915.24547803626,19
Qashqai,Benzyna,SUV,170730,Srebrny,1598.0,Manualna,Polska,117.0,Na przednie koła,po lewej,34800.0,Lubelskie,Prywatne,Nissan,False,12788.764044943908,13
Golf,Diesel,Hatchback,330000,Czarny,1896.0,Manualna,Niemcy,115.0,Na przednie koła,po lewej,5000.0,Śląskie,Prywatne,Volkswagen,True,13017.751479289987,25
A6,Diesel,Kombi,261000,Inny kolor,2000.0,Automatyczna,Szwecja,177.0,Na przednie koła,po lewej,45000.0,Śląskie,Prywatne,Audi,False,21133.60323886655,12
Tipo,Benzyna,Hatchback,100400,Brązowy – Beżowy,1368.0,Manualna,Polska,120.0,Na przednie koła,po lewej,40000.0,Kujawsko-pomorskie,Prywatne,Fiat,False,12023.952095808514,8
Avensis,Diesel,Kombi,247500,Szary,2231.0,Manualna,Polska,150.0,Na przednie koła,po lewej,14900.0,Śląskie,Prywatne,Toyota,True,12162.162162162216,20
Yaris,Benzyna,Hatchback,233800,Srebrny,998.0,Manualna,Niemcy,68.0,Na przednie koła,po lewej,5000.0,Śląskie,Firmowe,Toyota,False,10012.847965738798,23
XCeed,Benzyna,SUV,93400,Biały,1482.0,Manualna,Polska,160.0,Na przednie koła,po lewej,71900.0,Mazowieckie,Prywatne,Kia,True,21471.26436781654,4
Passat,Diesel,Kombi,259000,Szary,1998.0,Automatyczna,Polska,150.0,Na przednie koła,po lewej,57900.0,Dolnośląskie,Prywatne,Volkswagen,True,27700.534759358557,9
Seria 1,Benzyna,Hatchback,233046,Brązowy – Beżowy,1596.0,Manualna,Brak danych,85.0,Na tylne koła,po lewej,11500.0,Kujawsko-pomorskie,Prywatne,BMW,True,12043.720930232616,19
Vivaro,Diesel,Kombi,354000,Czarny,1994.0,Manualna,Holandia,101.0,Na przednie koła,po lewej,17900.0,Małopolskie,Prywatne,Opel,True,16580.79625292747,21
CLK Klasa,Diesel,Coupe,347402,Czarny,2987.0,Automatyczna,Niemcy,224.0,Na tylne koła,po lewej,28900.0,Mazowieckie,Prywatne,Mercedes-Benz,True,17071.351351351426,20
Berlingo,Diesel,Minivan,198000,Czarny,1600.0,Manualna,Niemcy,92.0,Na przednie koła,po lewej,26000.0,Śląskie,Firmowe,Citroen,False,14831.460674157404,13
Golf,Diesel,Kombi,294000,Niebieski,1900.0,Manualna,Niemcy,101.0,Na przednie koła,po lewej,7100.0,Śląskie,Prywatne,Volkswagen,True,15193.798449612474,19
SX4,Diesel,Hatchback,149500,Biały,1995.0,Manualna,Niemcy,135.0,4x4 (dołączany automatycznie),po lewej,31500.0,Małopolskie,Prywatne,Suzuki,False,12105.263157894826,12
Mondeo,Benzyna,Sedan,87000,Inny kolor,1500.0,Manualna,Polska,160.0,Na przednie koła,po lewej,61000.0,Pomorskie,Prywatne,Ford,True,10419.16167664682,8
Transporter,Diesel,Minivan,229000,Niebieski,2461.0,Manualna,Francja,87.0,Na przednie koła,po lewej,37000.0,Opolskie,Firmowe,Volkswagen,True,9404.517453798802,24
Focus,Benzyna,Hatchback,194000,Srebrny,999.0,Manualna,Polska,125.0,Na przednie koła,po lewej,20500.0,Kujawsko-pomorskie,Prywatne,Ford,True,17092.511013215997,11
Megane,LPG,Kombi,200000,Inny kolor,1400.0,Manualna,Polska,140.0,Na przednie koła,Brak danych,22000.0,Śląskie,Prywatne,Renault,True,13029.315960912129,15
Passat,Diesel,Kombi,294437,Czarny,1598.0,Manualna,Brak danych,105.0,Na przednie koła,Brak danych,21800.0,Kujawsko-pomorskie,Prywatne,Volkswagen,False,19181.563517915423,15
Focus,Benzyna,Kombi,92858,Niebieski,1596.0,Manualna,Polska,101.0,Na przednie koła,po lewej,15900.0,Zachodniopomorskie,Prywatne,Ford,True,6049.381107491892,15
Octavia,Diesel,Kombi,293000,Zielony,1900.0,Manualna,Polska,90.0,Na przednie koła,po lewej,4500.0,Podlaskie,Prywatne,Skoda,True,13109.619686800948,22
Seria 5,Diesel,Kombi,411000,Czarny,1996.0,Automatyczna,Niemcy,220.0,Brak danych,po lewej,37900.0,Małopolskie,Prywatne,BMW,True,30786.516853932793,13
Insignia,Diesel,Kombi,258000,Niebieski,1956.0,Manualna,Polska,170.0,Na przednie koła,po lewej,46500.0,Warmińsko-mazurskie,Prywatne,Opel,True,35102.04081632697,7
Q5,Benzyna,SUV,209000,Czarny,1984.0,Manualna,Niemcy,180.0,4x4 (stały),po lewej,43000.0,Opolskie,Prywatne,Audi,False,13615.635179153174,15
Superb,Benzyna,Sedan,242000,Czarny,2000.0,Automatyczna,Polska,220.0,Na przednie koła,po lewej,63900.0,Śląskie,Firmowe,Skoda,True,25882.352941176723,9
Tucson,LPG,SUV,103600,Żółty – Złoty,1591.0,Manualna,Polska,132.0,Na przednie koła,po lewej,67000.0,Dolnośląskie,Prywatne,Hyundai,True,14095.23809523827,7
C4,Diesel,Hatchback,149012,Czarny,1499.0,Automatyczna,Niemcy,130.0,Na przednie koła,po lewej,57900.0,Pomorskie,Firmowe,Citroen,True,34255.63218390876,4
X3,Diesel,SUV,380963,Biały,1995.0,Automatyczna,Inny,184.0,4x4 (dołączany automatycznie),po lewej,35800.0,Dolnośląskie,Prywatne,BMW,False,28536.5543071163,13
Leon,Benzyna,Hatchback,201990,Szary,1998.0,Manualna,Brak danych,300.0,Na przednie koła,po prawej,27900.0,Małopolskie,Firmowe,Seat,True,10438.75968992253,19
M3,Benzyna,Sedan,252276,Srebrny,3201.0,Manualna,Stany Zjednoczone,243.0,Na tylne koła,po lewej,81000.0,Małopolskie,Prywatne,BMW,True,8898.624338624368,28
Vivaro,Diesel,Minibus,350000,Czarny,2464.0,Manualna,Brak danych,140.0,Na przednie koła,po lewej,26900.0,Mazowieckie,Prywatne,Opel,True,20172.910662824313,17
Octavia,Benzyna,Kombi,131777,Srebrny,1595.0,Manualna,Niemcy,102.0,Brak danych,Brak danych,26900.0,Podkarpackie,Firmowe,Skoda,False,9183.066202090651,14
Vectra,Benzyna,Sedan,217700,Niebieski,1800.0,Manualna,Niemcy,122.0,Na przednie koła,po prawej,6500.0,Warmińsko-mazurskie,Prywatne,Opel,True,9740.492170022411,22
Grand Vitara,Benzyna,Terenowy,289735,Inny kolor,2493.0,Manualna,Brak danych,144.0,4x4 (dołączany ręcznie),po lewej,19900.0,Małopolskie,Prywatne,Suzuki,True,10593.601462522887,27
Seria 7,Benzyna,Sedan,209000,Czarny,5000.0,Automatyczna,Stany Zjednoczone,540.0,Na tylne koła,po lewej,50000.0,Pomorskie,Prywatne,BMW,True,12782.874617737074,16
XC 60,Diesel,SUV,274000,Czarny,2000.0,Manualna,Belgia,136.0,Na przednie koła,po lewej,48000.0,Mazowieckie,Prywatne,Volvo,True,24140.96916299579,11
Touran,Diesel,Minivan,212000,Czarny,2000.0,Automatyczna,Belgia,140.0,Brak danych,po lewej,61000.0,Śląskie,Prywatne,Volkswagen,False,22673.79679144407,9
Leon,Benzyna,Hatchback,174233,Inny kolor,1595.0,Manualna,Niemcy,102.0,Brak danych,Brak danych,19900.0,Podkarpackie,Firmowe,Seat,False,10656.452599388438,16
Mondeo,Diesel,Kombi,325000,Srebrny,1800.0,Manualna,Brak danych,125.0,Na przednie koła,po lewej,12500.0,Śląskie,Prywatne,Ford,True,17711.171662125427,18
GLK Klasa,Diesel,SUV,283000,Inny kolor,3000.0,Automatyczna,Polska,270.0,4x4 (stały),po lewej,37000.0,Mazowieckie,Prywatne,Mercedes-Benz,True,17308.86850152915,16
Focus,Diesel,Kombi,369102,Inny kolor,1600.0,Manualna,Niemcy,109.0,Na przednie koła,po lewej,10900.0,Łódzkie,Prywatne,Ford,True,21273.890489913658,17
308,LPG,Kombi,242800,Szary,1598.0,Manualna,Niemcy,120.0,Na przednie koła,po lewej,14000.0,Łódzkie,Prywatne,Peugeot,True,13994.236311239267,17
Octavia,Benzyna,Kombi,179288,Czarny,1984.0,Manualna,Polska,200.0,Na przednie koła,po lewej,25200.0,Mazowieckie,Prywatne,Skoda,True,10965.626911315047,16
One,LPG,Hatchback,161346,Czerwony,1400.0,Manualna,Polska,75.0,Na przednie koła,po lewej,15000.0,Podkarpackie,Prywatne,Mini,False,10511.140065146643,15
Wrangler,Benzyna,Terenowy,120000,Szary,2000.0,Automatyczna,Polska,272.0,4x4 (dołączany ręcznie),po lewej,162000.0,Zachodniopomorskie,Prywatne,Jeep,True,18897.637795275863,6
Sienna,LPG,Minivan,471617,Szary,3500.0,Automatyczna,Polska,269.0,4x4 (stały),po lewej,16000.0,Pomorskie,Firmowe,Toyota,True,25701.198910081872,18
Focus,Benzyna,Hatchback,227000,Srebrny,1600.0,Manualna,Polska,100.0,Na przednie koła,po lewej,14900.0,Mazowieckie,Prywatne,Ford,False,14788.273615635268,15
Seria 5,Diesel,Kombi,105000,Niebieski,1995.0,Automatyczna,Polska,190.0,4x4 (dołączany automatycznie),po lewej,95000.0,Pomorskie,Prywatne,BMW,True,14285.714285714463,7
Auris,Benzyna,Hatchback,191061,Srebrny,1598.0,Manualna,Brak danych,123.0,Brak danych,po lewej,11900.0,Pomorskie,Prywatne,Toyota,True,10412.043596730296,18
Seria 3,Benzyna,Kabriolet,217000,Niebieski,2499.0,Manualna,Holandia,192.0,Na tylne koła,po lewej,39999.0,Wielkopolskie,Prywatne,BMW,False,6921.850079744837,31
9-5,Benzyna,Kombi,260171,Czarny,2000.0,Manualna,Brak danych,209.0,Na przednie koła,po lewej,5990.0,Mazowieckie,Firmowe,Saab,True,14995.446685879042,17
CRX,Benzyna,Coupe,170000,Biały,1500.0,Manualna,Niemcy,100.0,Na przednie koła,Brak danych,40000.0,Łódzkie,Prywatne,Honda,False,5255.023183925826,32
Tiguan,Diesel,SUV,172000,Biały,1968.0,Manualna,Francja,170.0,Na przednie koła,po lewej,41900.0,Świętokrzyskie,Firmowe,Volkswagen,False,12883.89513108623,13
A5,Benzyna,Hatchback,191000,Niebieski,2000.0,Automatyczna,Polska,225.0,4x4 (stały),po lewej,77500.0,Małopolskie,Prywatne,Audi,True,15465.587044534526,12
Pozostałe Baic,LPG,SUV,95000,Czarny,1500.0,Automatyczna,Brak danych,136.0,Na przednie koła,Brak danych,58000.0,Świętokrzyskie,Prywatne,Baic,False,12925.170068027372,7
A6,Diesel,Kombi,240000,Czarny,3000.0,Automatyczna,Brak danych,240.0,Brak danych,po lewej,29000.0,Wielkopolskie,Prywatne,Audi,True,13079.019073569547,18
Kamiq,Benzyna,SUV,107000,Biały,998.0,Manualna,Polska,110.0,Brak danych,po lewej,67900.0,Małopolskie,Prywatne,Skoda,True,20000.00000000034,5
V60,Diesel,Kombi,375000,Czarny,1998.0,Manualna,Brak danych,163.0,Na przednie koła,po lewej,29900.0,Mazowieckie,Prywatne,Volvo,True,28089.88764044963,13
Seria 5,Benzyna,Sedan,200000,Czerwony,2200.0,Automatyczna,Brak danych,170.0,Brak danych,po prawej,14700.0,Łódzkie,Prywatne,BMW,False,9828.009828009872,20
Seria 1,Diesel,Hatchback,319000,Inny kolor,2000.0,Manualna,Inny,160.0,Na tylne koła,po lewej,11999.0,Wielkopolskie,Prywatne,BMW,False,15675.675675675746,20
Astra,Benzyna,Hatchback,206000,Inny kolor,1396.0,Automatyczna,Polska,150.0,Na przednie koła,po lewej,37000.0,Mazowieckie,Prywatne,Opel,True,22032.08556149754,9
307 SW,Diesel,Kombi,284024,Niebieski,2000.0,Manualna,Polska,136.0,Na przednie koła,po lewej,6990.0,Zachodniopomorskie,Firmowe,Peugeot,False,16370.259365994321,17
Q5,Diesel,SUV,299900,Brązowy – Beżowy,1995.0,Automatyczna,Polska,204.0,4x4 (stały),Brak danych,42900.0,Podkarpackie,Prywatne,Audi,True,18342.50764526004,16
Yaris,Benzyna,Hatchback,126352,Srebrny,1300.0,Manualna,Niemcy,87.0,Na przednie koła,po lewej,9500.0,Małopolskie,Prywatne,Toyota,True,6208.943488943517,20
A3,Diesel,Hatchback,268000,Inny kolor,1968.0,Manualna,Brak danych,150.0,Na przednie koła,Brak danych,35900.0,Śląskie,Prywatne,Audi,True,20074.906367041334,13
Trafic,Diesel,Minibus,320000,Biały,1995.0,Manualna,Brak danych,90.0,Na przednie koła,po lewej,33500.0,Mazowieckie,Prywatne,Renault,False,17438.692098092728,18
Captiva,Diesel,SUV,212000,Biały,2200.0,Automatyczna,Polska,184.0,4x4 (stały),po lewej,49900.0,Dolnośląskie,Prywatne,Chevrolet,False,18678.41409691645,11
Seria 3,Diesel,Kombi,179000,Szary,1995.0,Automatyczna,Belgia,150.0,Na tylne koła,po lewej,93900.0,Zachodniopomorskie,Prywatne,BMW,False,33457.94392523421,5
Golf,Benzyna,Sedan,200000,Szary,1400.0,Manualna,Niemcy,80.0,Na przednie koła,po lewej,23500.0,Kujawsko-pomorskie,Prywatne,Volkswagen,False,13937.282229965245,14
A4,Diesel,Kombi,323000,Czarny,2000.0,Manualna,Niemcy,140.0,4x4 (stały),po lewej,16500.0,Warmińsko-mazurskie,Prywatne,Audi,True,16692.5064599484,19
A8,Benzyna,Sedan,406000,Inny kolor,4200.0,Automatyczna,Dania,335.0,4x4 (stały),po lewej,29500.0,Lubuskie,Prywatne,Audi,False,18165.54809843408,22
Yaris,Benzyna,Hatchback,190000,Srebrny,1300.0,Manualna,Polska,70.0,Brak danych,Brak danych,2900.0,Mazowieckie,Prywatne,Toyota,False,8899.297423887625,21
XC 70,Benzyna,Kombi,350000,Brązowy – Beżowy,3200.0,Automatyczna,Stany Zjednoczone,238.0,4x4 (dołączany automatycznie),po lewej,20500.0,Mazowieckie,Prywatne,Volvo,True,20172.910662824313,17
CLS Klasa,Diesel,Coupe,291000,Srebrny,2999.0,Automatyczna,Wielka Brytania,224.0,Na tylne koła,po prawej,18000.0,Kujawsko-pomorskie,Prywatne,Mercedes-Benz,True,14299.754299754364,20
Polo,Benzyna,Hatchback,153725,Szary,1390.0,Manualna,Niemcy,86.0,Na przednie koła,po lewej,23999.0,Wielkopolskie,Prywatne,Volkswagen,True,11514.981273408319,13
Scirocco,Benzyna,Coupe,223000,Biały,1400.0,Manualna,Brak danych,160.0,Brak danych,Brak danych,26000.0,Śląskie,Prywatne,Volkswagen,True,13639.143730886926,16
5,Diesel,Minivan,160000,Szary,1600.0,Manualna,Niemcy,116.0,Na przednie koła,Brak danych,20900.0,Podkarpackie,Prywatne,Mazda,False,11149.825783972195,14
Explorer,LPG,Terenowy,151000,Niebieski,4011.0,Automatyczna,Kanada,204.0,4x4 (dołączany automatycznie),po lewej,17200.0,Lubelskie,Prywatne,Ford,True,5956.6074950690545,25
Seria 5,Diesel,Sedan,219000,Inny kolor,2000.0,Automatyczna,Polska,218.0,4x4 (dołączany automatycznie),po lewej,69500.0,Dolnośląskie,Prywatne,BMW,False,19295.15418502218,11
Seria 3,Benzyna,Sedan,261000,Szary,1995.0,Manualna,Niemcy,150.0,Na tylne koła,po lewej,10800.0,Wielkopolskie,Prywatne,BMW,True,13488.37209302332,19
Zafira,Benzyna,Minivan,197000,Inny kolor,1800.0,Manualna,Niemcy,140.0,Na przednie koła,po lewej,17500.0,Świętokrzyskie,Prywatne,Opel,True,12048.92966360863,16
Seria 3,LPG,Coupe,270000,Niebieski,1900.0,Manualna,Brak danych,118.0,Brak danych,po lewej,8900.0,Mazowieckie,Prywatne,BMW,True,11088.295687885051,24
Polo,Benzyna,Hatchback,262452,Srebrny,1200.0,Manualna,Brak danych,54.0,Na przednie koła,po lewej,3800.0,Zachodniopomorskie,Prywatne,Volkswagen,False,11742.818791946356,22
Polo,Benzyna,Hatchback,194000,Niebieski,1400.0,Manualna,Polska,65.0,Brak danych,po lewej,6900.0,Mazowieckie,Prywatne,Volkswagen,True,9533.169533169576,20
A3,Benzyna,Hatchback,149531,Czarny,1600.0,Manualna,Niemcy,102.0,Na przednie koła,po lewej,9900.0,Mazowieckie,Prywatne,Audi,False,6690.425055928439,22
Seria 3,Diesel,Kombi,362000,Brązowy – Beżowy,2000.0,Manualna,Brak danych,150.0,Brak danych,po lewej,12900.0,Mazowieckie,Prywatne,BMW,True,19727.5204359674,18
Yaris,Benzyna,Hatchback,187154,Zielony,1300.0,Manualna,Polska,87.0,Na przednie koła,po lewej,14900.0,Podlaskie,Prywatne,Toyota,True,10199.128065395145,18
308,Benzyna,Hatchback,55600,Niebieski,1200.0,Manualna,Belgia,130.0,Na przednie koła,po lewej,36000.0,Podkarpackie,Prywatne,Peugeot,True,6658.682634730611,8
i30,Benzyna,Hatchback,170000,Czarny,1400.0,Manualna,Brak danych,100.0,Brak danych,Brak danych,26800.0,Opolskie,Prywatne,Hyundai,False,12734.082397003833,13
Grand Cherokee,Diesel,SUV,139000,Czarny,3000.0,Automatyczna,Polska,250.0,4x4 (stały),po lewej,95000.0,Dolnośląskie,Prywatne,Jeep,False,13429.951690821374,10
Mustang,Benzyna,Kabriolet,158000,Srebrny,4000.0,Automatyczna,Stany Zjednoczone,212.0,Brak danych,po lewej,44999.0,Kujawsko-pomorskie,Prywatne,Ford,True,8610.354223433285,18
6,Diesel,Hatchback,250000,Szary,1996.0,Manualna,Niemcy,143.0,Na przednie koła,po lewej,4500.0,Dolnośląskie,Prywatne,Mazda,True,12919.896640826933,19
Polo,Benzyna,Hatchback,176000,Srebrny,1200.0,Manualna,Niemcy,64.0,Brak danych,Brak danych,9490.0,Zachodniopomorskie,Prywatne,Volkswagen,True,10764.525993883852,16
Pozostałe Hyundai,Benzyna,Terenowy,205000,Czarny,1975.0,Manualna,Brak danych,104.0,Na przednie koła,po lewej,18000.0,Łódzkie,Prywatne,Hyundai,True,11815.56195965424,17
T-Roc,Benzyna,Hatchback,21000,Czarny,1500.0,Automatyczna,Austria,150.0,Na przednie koła,po lewej,93000.0,Małopolskie,Prywatne,Volkswagen,False,6268.656716418081,3
Tiguan,Diesel,SUV,298000,Srebrny,1968.0,Manualna,Brak danych,140.0,4x4 (dołączany automatycznie),po lewej,34000.0,Kujawsko-pomorskie,Prywatne,Volkswagen,True,17175.7925072047,17
Cee'd,Benzyna,Kombi,182000,Szary,1400.0,Manualna,Brak danych,109.0,Brak danych,Brak danych,9999.0,Lubuskie,Prywatne,Kia,True,11131.498470948074,16
307 SW,Benzyna,Kombi,243000,Czarny,2000.0,Manualna,Brak danych,136.0,Brak danych,Brak danych,4990.0,Dolnośląskie,Firmowe,Peugeot,False,11381.733021077333,21
Mondeo,Diesel,Kombi,197000,Inny kolor,1997.0,Automatyczna,Niemcy,140.0,Na przednie koła,po lewej,17300.0,Śląskie,Prywatne,Ford,True,14756.554307116205,13
307,LPG,Hatchback,290000,Srebrny,1600.0,Manualna,Brak danych,100.0,Brak danych,Brak danych,5999.0,Podlaskie,Prywatne,Peugeot,False,11909.650924024685,24
B Klasa,Benzyna,Hatchback,150000,Żółty – Złoty,2000.0,Automatyczna,Polska,136.0,Na przednie koła,po lewej,12999.0,Mazowieckie,Prywatne,Mercedes-Benz,False,7371.007371007404,20
Insignia,Diesel,Hatchback,194000,Biały,1956.0,Automatyczna,Niemcy,170.0,Na przednie koła,po lewej,57300.0,Podkarpackie,Prywatne,Opel,False,23233.53293413199,8
Passat,Diesel,Sedan,247000,Inny kolor,2000.0,Manualna,Brak danych,140.0,Na przednie koła,po lewej,36900.0,Małopolskie,Prywatne,Volkswagen,True,16091.20521172648,15
Touareg,Diesel,SUV,280000,Inny kolor,2500.0,Manualna,Brak danych,170.0,4x4 (dołączany automatycznie),Brak danych,21900.0,Łódzkie,Prywatne,Volkswagen,True,15258.855585831137,18
Corsa,Benzyna,Coupe,175000,Czarny,1600.0,Manualna,Brak danych,192.0,Na przednie koła,po lewej,23000.0,Mazowieckie,Prywatne,Opel,True,9043.927648578854,19
Ibiza,Benzyna,Kombi,127000,Czarny,999.0,Manualna,Austria,75.0,Brak danych,po lewej,21000.0,Świętokrzyskie,Prywatne,Seat,True,13582.887700534891,9
S80,Diesel,Sedan,293000,Czarny,2000.0,Automatyczna,Brak danych,163.0,Na przednie koła,po lewej,30900.0,Lubelskie,Prywatne,Volvo,True,20418.118466899083,14
Kuga,Diesel,SUV,227000,Biały,2000.0,Manualna,Brak danych,140.0,Na przednie koła,Brak danych,29700.0,Lubelskie,Prywatne,Ford,True,17003.745318352176,13
A4,Diesel,Kombi,252000,Czarny,2700.0,Automatyczna,Brak danych,200.0,Na przednie koła,po lewej,16900.0,Śląskie,Prywatne,Audi,True,13732.970027248024,18
A4,Diesel,Sedan,140600,Szary,1998.0,Automatyczna,Polska,150.0,Na przednie koła,po lewej,90000.0,Wielkopolskie,Prywatne,Audi,True,19129.25170068051,7
A6,Diesel,Sedan,315000,Czarny,1968.0,Manualna,Brak danych,140.0,Na przednie koła,po lewej,21000.0,Małopolskie,Prywatne,Audi,True,14754.0983606558,21
R Klasa,Benzyna,Minivan,335000,Czarny,3500.0,Automatyczna,Stany Zjednoczone,306.0,4x4 (dołączany automatycznie),po lewej,55000.0,Kujawsko-pomorskie,Prywatne,Mercedes-Benz,True,25093.63295880167,13
Zafira,Benzyna,Minivan,160000,Brązowy – Beżowy,1400.0,Manualna,Niemcy,140.0,Brak danych,Brak danych,36900.0,Kujawsko-pomorskie,Prywatne,Opel,True,15458.937198067768,10
XCeed,Benzyna,SUV,77000,Brązowy – Beżowy,1482.0,Automatyczna,Polska,160.0,Na przednie koła,po lewej,93000.0,Śląskie,Firmowe,Kia,False,17701.149425287727,4
A6,Diesel,Sedan,139000,Szary,3000.0,Automatyczna,Niemcy,326.0,4x4 (stały),po lewej,124900.0,Pomorskie,Prywatne,Audi,True,18911.564625850573,7
