Model,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Województwo,Rodzaj ogłoszenia,Producent,Czy cena do negocjacji,Roczny przebieg,Wiek
Edge,Diesel,SUV,76000,Czarny,2000.0,Automatyczna,Polska,238.0,4x4 (dołączany automatycznie),po lewej,120000.0,Śląskie,Prywatne,Ford,True,11968.503937008045,6
Corsa,Benzyna,Hatchback,124000,Czarny,1229.0,Manualna,Polska,87.0,Na przednie koła,po lewej,11900.0,Kujawsko-pomorskie,Prywatne,Opel,True,8078.17589576552,15
508,Diesel,Kombi,308200,Czarny,1997.0,Manualna,Francja,140.0,Na przednie koła,po lewej,27900.0,Mazowieckie,Prywatne,Peugeot,False,24955.465587044717,12
Punto Evo,LPG,Hatchback,200000,Niebieski,1368.0,Manualna,Polska,57.0,Na przednie koła,po lewej,13000.0,Śląskie,Prywatne,Fiat,True,13937.282229965245,14
A4,Diesel,Kombi,286125,Czarny,1968.0,Automatyczna,Niemcy,150.0,Na przednie koła,po lewej,42500.0,Łódzkie,Prywatne,Audi,False,23168.016194332155,12
Juke,Benzyna,SUV,98500,Czarny,1200.0,Manualna,Polska,115.0,Brak danych,Brak danych,35500.0,Śląskie,Prywatne,Nissan,True,11796.40718562887,8
Qashqai,Benzyna,SUV,52000,Szary,1300.0,Automatyczna,Niemcy,158.0,Na przednie koła,po lewej,74000.0,Śląskie,Prywatne,Nissan,True,8188.976377952873,6
A6,Diesel,Kombi,275000,Czarny,2000.0,Automatyczna,Brak danych,177.0,Na przednie koła,Brak danych,45500.0,Małopolskie,Prywatne,Audi,False,24229.074889868036,11
A3,Diesel,Hatchback,240000,Srebrny,1600.0,Manualna,Polska,105.0,Na przednie koła,po lewej,22500.0,Świętokrzyskie,Prywatne,Audi,False,17977.528089887765,13
Astra,Benzyna,Kombi,174000,Inny kolor,1364.0,Manualna,Niemcy,140.0,Na przednie koła,po lewej,19999.0,Kujawsko-pomorskie,Prywatne,Opel,False,11335.504885993552,15
500L,Benzyna,Hatchback,186900,Zielony,1368.0,Automatyczna,Stany Zjednoczone,160.0,Na przednie koła,po lewej,32000.0,Mazowieckie,Prywatne,Fiat,True,16466.96035242304,11
Seria 5,Diesel,Kombi,213800,Srebrny,1995.0,Automatyczna,Włochy,190.0,4x4 (dołączany automatycznie),po lewej,62000.0,Lubuskie,Prywatne,BMW,True,22866.31016042803,9
Ibiza,Benzyna,Hatchback,123000,Biały,999.0,Manualna,Niemcy,75.0,Na przednie koła,Brak danych,36900.0,Mazowieckie,Prywatne,Seat,True,16734.693877551228,7
Octavia,LPG,Hatchback,293000,Czarny,1598.0,Manualna,Niemcy,75.0,Na przednie koła,po lewej,2599.0,Śląskie,Prywatne,Skoda,False,10712.979890310822,27
Aygo,Benzyna,Hatchback,55889,Biały,1000.0,Manualna,Polska,72.0,Brak danych,po lewej,32999.0,Mazowieckie,Prywatne,Toyota,False,12848.045977011763,4
